LLAVEHOG,ORDEN,AÑOS_CUMPLIDOS,HIJOS,CANT_PERSONAS,VIVE_PADRES,NIVEL_EDUCACION_MADRE,AFILIADO_SS,ESTADO_SALUD,DISCAPACIDAD,LEER_ESCRIBIR,NIVEL_EDUCATIVO,SALARIO,ACTIVIDAD,TELEFONO,TIPO_VIVIENDA,SUBSIDIO,SEGURIDAD,CONDICIONES_VIDA,POBRE,INGRESO_HOGAR,COMIDA,AGUA_ALIMENTOS,AGUA24H,VIVIENDA,SATISFACCCION_INGRESO,SATISFACCION_SALUD,SATISFACCION_SEGURIDAD,SATISFACCION_TRABAJO,SATISFACCION_VIDA
60027281,5,18,1,6,4,1,2,2,NO,1,,,4,1,2,NO,2,2,2,2,2,1,1,1,9,9,9,8,10
60027441,4,45,1,5,2,,1,2,NO,1,,,4,2,1,SI,1,2,2,2,2,1,1,1,9,10,10,10,10
60027831,1,41,2,3,4,1,1,2,NO,1,,969000,1,1,1,NO,1,2,2,3,2,1,1,1,10,9,10,9,10
60027851,2,28,1,3,2,,1,1,NO,1,,,1,1,1,SI,1,2,2,2,2,2,1,1,7,10,9,10,10
60027961,3,34,1,4,3,,1,2,NO,1,,,1,1,1,NO,1,2,2,2,2,1,1,1,7,8,5,5,6
60028321,6,17,1,7,2,,1,2,NO,1,,,4,1,1,NO,1,3,2,1,2,1,1,3,9,10,7,1,8
60028601,2,32,2,4,2,,1,2,NO,1,,,4,1,1,NO,1,2,2,2,2,1,1,1,4,8,5,7,10
60029281,2,35,1,5,2,,2,2,NO,1,,737717,1,1,1,NO,1,1,2,2,2,10,,1,10,10,10,10,10
60029431,1,40,1,2,4,1,1,1,NO,1,,,1,1,1,NO,1,3,2,1,2,1,2,5,4,10,8,4,8
60029481,2,33,4,8,2,,1,2,NO,1,,,4,2,1,SI,1,4,1,1,1,1,2,5,10,7,7,0,4
60029721,3,37,1,5,2,,1,1,NO,1,,1000000,1,1,1,NO,1,1,2,3,2,1,1,1,8,8,8,10,9
60029811,3,28,1,4,4,10,1,2,NO,1,,400000,1,1,2,NO,1,2,2,2,2,1,1,1,3,9,8,6,10
60029881,1,43,2,4,2,,1,2,NO,1,,737717,1,1,1,NO,1,2,2,2,2,1,1,1,5,8,8,9,10
60029901,2,53,1,6,2,,1,1,NO,1,,,4,1,1,SI,1,2,2,2,2,1,1,1,10,10,9,10,10
60030091,4,46,1,7,3,,1,3,NO,1,,,1,1,1,SI,1,2,1,2,2,1,1,1,7,7,8,6,8
60030121,1,30,1,2,4,1,1,2,NO,1,,737717,1,1,2,NO,2,2,1,2,2,6,,3,4,7,5,10,9
60030321,2,21,1,3,2,,1,2,NO,1,,,4,1,2,SI,1,2,2,2,2,1,2,3,10,10,10,10,10
60030461,3,17,1,4,2,,1,2,NO,1,,,4,1,2,NO,1,2,2,1,2,1,1,1,9,10,10,0,10
60030481,5,28,1,6,3,,1,3,NO,1,,737000,1,1,1,SI,1,2,1,1,2,1,1,1,10,10,10,10,10
60031411,1,51,2,8,4,2,1,2,NO,1,,750000,1,1,1,NO,1,1,2,1,2,3,,3,7,10,8,10,10
60032113,1,56,1,2,4,2,1,2,NO,1,,710000,1,1,2,NO,2,2,2,1,2,1,1,4,7,7,4,9,10
